stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021017361046000,"Lövnäs, Bryggerivägen",59.332222,13.536269,1,,
9021017361051000,Nolgård,59.349720,13.497717,1,,
9021017361053000,Norra Skagene,59.301471,13.520146,1,,
9021017361054000,Norra Tye,59.349176,13.558559,1,,
9021017361057000,Skagene,59.294437,13.513350,1,,
9021017361058000,Skoghall Centrum,59.323285,13.465143,1,,
9021017361062000,"Skoghall, Frödingsvägen",59.328843,13.492738,1,,
9021017361066000,"Skoghall, Hagakorset",59.324743,13.474338,1,,
9021017361071000,"Skoghall, Mörmoskolan",59.329768,13.479617,1,,
9021017361076000,"Skoghall, Södra Vägen",59.340999,13.444533,1,,
9021017361077000,"Skoghall, Valsvägen",59.343284,13.494797,1,,
9021017361078000,"Skoghall, Vidövägen",59.335597,13.447703,1,,
9021017361081000,Svenshult,59.291640,13.511063,1,,
9021017361082000,Sätter,59.304951,13.542021,1,,
9021017361083000,Södra Tye,59.342020,13.554936,1,,
9021017361085000,Takene,59.270126,13.505090,1,,
9021017361086000,Torp,59.320208,13.532731,1,,
9021017361087000,Toverud,59.319517,13.581634,1,,
9021017361088000,Tynäs,59.356437,13.566186,1,,
9021017361090000,Utteråsen,59.329344,13.562470,1,,
9021017361092000,Östanås,59.328889,13.573588,1,,
9021017361093000,Rud,59.315738,13.588082,1,,
9021017361094000,Verkstaden,59.309204,13.541317,1,,
9021017361095000,Fiskeviksvägen,59.298405,13.516383,1,,
9021017362002000,Gersheden,59.811434,13.507068,1,,
9021017362003000,Jonsbol,59.784265,13.478639,1,,
9021017362004000,Munkerud,59.830346,13.521086,1,,
9021017362006000,"Munkfors, Bliavägen",59.829458,13.538769,1,,
9021017362007000,"Munkfors, Dalbråten",59.819130,13.515328,1,,
9021017362009000,"Munkfors, Hagalund",59.848168,13.559554,1,,
9021017362010000,"Munkfors, Hallarna",59.821854,13.519653,1,,
9021017362011000,"Munkfors, Näset",59.828059,13.526932,1,,
9021017362012000,Norra Gersby,59.806685,13.506094,1,,
9021017362013000,Norra Tjärne,59.791471,13.500283,1,,
9021017362014000,"Ransäter, Hembygdsgården",59.776781,13.459268,1,,
9021017362016000,Ransäters kyrka,59.770803,13.449842,1,,
9021017362017000,Ransäterstorp,59.751388,13.440301,1,,
9021017362018000,Södra Gersby,59.797265,13.503482,1,,
9021017362019000,Södra Tjärne,59.787715,13.490993,1,,
9021017362021000,"Munkfors, Vårdcentralen",59.832310,13.543249,1,,
9021017363000000,Berg,59.515422,13.455617,1,,
9021017363001000,Botorp,59.585078,13.460584,1,,
9021017363003000,"Deje, Djupdalsvägen",59.609769,13.453830,1,,
9021017363004000,"Deje, Industrivägen",59.613905,13.451662,1,,
9021017363007000,"Deje, Torget",59.604157,13.466430,1,,
9021017363009000,Dejefors,59.609840,13.469880,1,,
9021017363010000,Dyvelsten,59.516761,13.443702,1,,
9021017363014000,"Forshaga, Grossbol",59.537750,13.481947,1,,
9021017363016000,"Forshaga, Petruskorset",59.528022,13.474238,1,,
9021017363017000,"Forshaga, Sisugården",59.542538,13.463932,1,,
9021017363018000,"Forshaga, Ängevi",59.526740,13.471357,1,,
9021017363019000,Forsnor,59.526009,13.510736,1,,
9021017363022000,Hedegården,59.633825,13.442837,1,,
9021017363024000,Kvarntorp,59.554835,13.489384,1,,
9021017363027000,Lyckan,59.492795,13.426006,1,,
9021017363030000,Norra Skived,59.522987,13.485013,1,,
9021017363031000,Olsäter,59.720280,13.474305,1,,
9021017363033000,Orretorp,59.566632,13.477566,1,,
9021017363034000,Risäter,59.598373,13.501321,1,,
9021017363038000,Skivedtorp,59.519682,13.472887,1,,
9021017363039000,Småris,59.598730,13.450722,1,,
9021017363040000,Syrsjön,59.578451,13.510226,1,,
9021017363042000,Tjusbol,59.601888,13.490327,1,,
9021017363044000,Visterudsvägen,59.552671,13.478760,1,,
9021017363045000,Västra Deje,59.568066,13.509978,1,,
9021017363046000,Västsjövägen,59.690749,13.445878,1,,
9021017363049000,Ängåsen,59.543481,13.513137,1,,
9021017363051000,Öjenäsvägen,59.512181,13.439764,1,,
9021017363052000,Östra Deje,59.570382,13.517590,1,,
9021017363054000,"Övre Ullerud, Kyrkan",59.690101,13.460808,1,,
9021017363055000,"Deje, Ullerudsgården",59.604360,13.469711,1,,
9021017363060000,Tjärnheden Bytespunkt,59.615297,13.449633,1,,
9021017364000000,Björnebol,59.475744,12.883617,1,,
9021017364001000,Björnevål,59.357897,13.022993,1,,
9021017364002000,Borgviksbruk,59.355983,12.967176,1,,
9021017364003000,"Degerbyn, garageplats",59.449868,12.973311,1,,
9021017364004000,Flokerud,59.386818,13.050921,1,,
9021017364005000,"Grums, Gamla Slottsbron",59.336506,13.099442,1,,
9021017364006000,Grums Resecentrum,59.353380,13.113241,1,,
9021017364007000,Grums E18 Gruvön,59.340608,13.109312,1,,
9021017364008000,"Grums, Kyrkan",59.371500,13.095280,1,,
9021017364009000,Liåsbacken,59.349999,12.954327,1,,
9021017364010000,Grums Billerudshallen,59.349423,13.101279,1,,
9021017364012000,"Grums, Edsholmsgatan",59.333867,13.102552,1,,
9021017364015000,"Grums, Industrigatan",59.357776,13.113016,1,,
9021017364016000,"Grums, Järpegatan",59.343592,13.099000,1,,
9021017364017000,"Grums, Kommunkontoret",59.351202,13.109984,1,,
9021017364018000,"Grums, Ljunggatan",59.340894,13.097105,1,,
9021017364020000,"Grums, Orrby",59.347340,13.101322,1,,
9021017364021000,"Grums, Solbergsgatan",59.353529,13.107425,1,,
9021017364022000,"Grums, Tömtebacken",59.340738,13.106454,1,,
9021017364024000,"Grums, Grönberg",59.361401,13.111550,1,,
9021017364026000,"Grums, Karlberg",59.364829,13.114023,1,,
9021017364029000,Malsjö,59.401390,13.058368,1,,
9021017364031000,Medskog,59.377982,13.158971,1,,
9021017364032000,Norra Borgvik,59.370281,12.979496,1,,
9021017364035000,Rolfsbol,59.462745,12.875899,1,,
9021017364037000,"Grums, Nyängen",59.367773,13.143192,1,,
9021017364041000,Slottsbron,59.325311,13.104023,1,,
9021017364044000,"Slottsbron, Åstorpsvägen",59.323189,13.107337,1,,
9021017364046000,Sundet,59.460829,12.942996,1,,
9021017364049000,Åshammar,59.377065,13.093375,1,,
9021017364050000,Borgviksvägen,59.282630,13.049556,1,,
9021017364051000,"Grums, Björknäsgatan",59.336505,13.093798,1,,
9021017364052000,Romängen,59.499955,12.875799,1,,
9021017364053000,Valneviken,59.254607,12.959868,1,,
9021017364056000,Valnäs,59.256744,12.991629,1,,
9021017364059000,Grums Vårdcentralen Gamla vägen,59.352400,13.103206,1,,
9021017365000000,Backevarv,59.459474,12.029265,1,,
9021017365002000,Björnåsen,59.355909,12.096068,1,,
9021017365006000,Bredviken,59.292527,12.104648,1,,
9021017365008000,Töcksfors skola,59.504437,11.833232,1,,
9021017365009000,Elofsbyn,59.555172,11.831604,1,,
9021017365011000,Finntorp,59.402770,12.478932,1,,
9021017365012000,Fälltakan,59.296278,12.351482,1,,
9021017365014000,Hajom,59.486771,11.942293,1,,
9021017365016000,Holmedal E18,59.480933,11.953630,1,,
9021017365020000,Hämnäs skola,59.521854,12.051428,1,,
9021017365021000,Högelian,59.460787,12.144692,1,,
9021017365023000,Karlanda kyrka,59.528697,12.066019,1,,
9021017365024000,Kjestad,59.354353,12.293354,1,,
9021017365025000,Lennartsfors,59.316487,11.900061,1,,
9021017365027000,Låbbyn,59.342141,12.099437,1,,
9021017365028000,Myrås,59.291942,12.429636,1,,
9021017365031000,Rök,59.224295,12.397400,1,,
9021017365032000,Rössbyn,59.463034,12.013526,1,,
9021017365034000,Selen,59.468955,11.997146,1,,
9021017365035000,Sillebotten,59.277997,12.394100,1,,
9021017365036000,Sillerud,59.320893,12.311981,1,,
9021017365038000,Skogen,59.195967,12.374884,1,,
9021017365039000,Skålerud,59.496416,11.917860,1,,
9021017365040000,Slämtegen,59.319742,12.114378,1,,
9021017365041000,Snarkilsvägen,59.342995,12.298644,1,,
9021017365043000,Stommen,59.535017,12.076800,1,,
9021017365044000,Svensbyn,59.325593,12.308017,1,,
9021017365047000,Tvärdalen,59.423606,12.103660,1,,
9021017365048000,"Töcksfors, Ståltorpsvägen E18",59.505880,11.860075,1,,
9021017365049000,Töcksfors Centralen,59.508559,11.841410,1,,
9021017365051000,"Töcksfors, Sandviksvägen E18",59.507260,11.853125,1,,
9021017365054000,"Töcksfors, Sveavägen",59.508867,11.837944,1,,
